crop,tons,billion_tons
Sugar cane,"1,859,390,044",1.859
Maize,"1,210,235,135",1.210
Rice,"787,293,867",0.787
Wheat,"770,877,073",0.771
Oil palm fruit,"416,396,560",0.416
Potatoes,"376,119,974",0.376
Soya beans,"371,693,593",0.372
"Cassava, fresh","314,806,748",0.315
Other veg.,"292,200,233",0.292
Sugar beet,"270,156,001",0.270
